               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.024868,            0.020825,           0.0060506,             0.92543,             0.69296,             0.75487,             0.55043,            0.019866,            0.011801,           0.0045387,            0.006535,            0.006535,            0.006535
                  37,              0.0249,            0.020359,           0.0062901,             0.91125,             0.73148,             0.78445,              0.5866,            0.020388,            0.011882,           0.0037354,            0.006436,            0.006436,            0.006436
                  38,            0.024671,            0.020397,           0.0055962,             0.92971,             0.69725,             0.79379,             0.58223,            0.020597,            0.011738,           0.0047532,            0.006337,            0.006337,            0.006337
                  39,            0.024769,            0.020499,           0.0053778,             0.90329,             0.71194,              0.7507,             0.56085,            0.020379,            0.011933,           0.0051973,            0.006238,            0.006238,            0.006238
                  40,            0.024709,            0.020356,           0.0062495,             0.92085,             0.70536,             0.79349,             0.58789,            0.019987,            0.011647,           0.0040065,            0.006139,            0.006139,            0.006139
                  41,              0.0245,            0.020156,            0.005478,             0.91332,             0.72845,             0.78608,             0.58475,            0.019977,            0.011525,           0.0040711,             0.00604,             0.00604,             0.00604
                  42,            0.025163,            0.020334,           0.0060845,             0.92353,             0.73359,             0.80419,             0.59993,            0.019967,            0.011649,           0.0038658,            0.005941,            0.005941,            0.005941
                  43,            0.023936,             0.02013,           0.0052214,             0.83476,             0.77788,             0.80582,             0.59716,            0.019949,            0.011707,           0.0041612,            0.005842,            0.005842,            0.005842
                  44,            0.024339,            0.019688,           0.0051661,             0.93285,             0.75138,             0.80563,             0.59088,            0.019723,            0.011655,           0.0036283,            0.005743,            0.005743,            0.005743
                  45,            0.023831,            0.019772,           0.0055611,             0.89697,             0.73591,             0.76405,             0.56561,            0.020138,            0.011802,            0.003944,            0.005644,            0.005644,            0.005644
                  46,            0.023677,            0.019798,           0.0054995,             0.89715,             0.73397,             0.78298,             0.58022,            0.019501,            0.011719,           0.0047114,            0.005545,            0.005545,            0.005545
                  47,            0.023236,             0.01948,           0.0054735,             0.91763,             0.74915,             0.76164,             0.56273,            0.019766,            0.011833,           0.0037501,            0.005446,            0.005446,            0.005446
                  48,             0.02392,            0.019613,           0.0052625,             0.93423,             0.72714,             0.79191,             0.58784,            0.019638,            0.011888,           0.0045845,            0.005347,            0.005347,            0.005347
                  49,            0.023463,            0.019629,           0.0053141,             0.86675,             0.76158,             0.79199,             0.58852,            0.019334,            0.011736,           0.0038631,            0.005248,            0.005248,            0.005248
                  50,            0.023195,            0.019393,           0.0053127,             0.90891,               0.732,             0.79073,             0.59568,            0.019783,            0.011851,           0.0041254,            0.005149,            0.005149,            0.005149
                  51,            0.023092,            0.019084,           0.0052283,             0.94121,             0.73498,             0.78332,             0.58231,            0.019398,            0.011787,           0.0030651,             0.00505,             0.00505,             0.00505
                  52,            0.023345,            0.019044,           0.0050856,             0.93367,             0.74194,             0.77715,             0.57833,            0.020054,            0.011765,           0.0036734,            0.004951,            0.004951,            0.004951
                  53,            0.022605,             0.01922,           0.0047318,             0.92865,             0.73409,             0.78206,             0.59003,            0.020141,            0.011617,           0.0035193,            0.004852,            0.004852,            0.004852
                  54,            0.022435,            0.018975,           0.0049936,             0.94365,             0.69772,             0.77128,             0.58222,            0.019588,             0.01172,           0.0041457,            0.004753,            0.004753,            0.004753
